asd
logon,{K3V4-Y4OK65SI-1583GEOQ},10/23/2010 01:34:19,AAM0658,PC-9923,Logon
logon,{C7T3-B4IY16JF-6945LOFC},10/23/2010 06:28:17,AAM0658,PC-9923,Logoff
logon,{S8Q1-Z1OG01ED-8756DWPR},10/29/2010 00:06:47,AAM0658,PC-9923,Logon
logon,{J6L0-W5OJ26KB-8630RYVJ},10/29/2010 05:23:28,AAM0658,PC-9923,Logoff
logon,{Q4V8-Q7GY61AR-5156JFIN},09/10/2010 19:12:01,AJR0932,PC-4748,Logon
logon,{L7V8-B3VF10NY-3528JHMD},09/10/2010 20:50:41,AJR0932,PC-4748,Logoff
logon,{J0W5-D1UM54UE-1226CKXX},09/17/2010 23:47:50,AJR0932,PC-4748,Logon
logon,{I7C2-D6NT66AA-1853AICO},09/18/2010 02:02:51,AJR0932,PC-4748,Logoff
logon,{N2V7-L0SV52SI-0770UHNW},07/30/2010 19:56:44,BDV0168,PC-2464,Logon
logon,{L4L3-X6WU68LU-5259EBYN},07/30/2010 21:16:17,BDV0168,PC-2464,Logoff
logon,{K6Y8-I3KT71BP-2649YPST},08/06/2010 03:05:29,BDV0168,PC-2464,Logon
logon,{A3H5-K3CV21LY-0335FCNS},08/06/2010 04:57:30,BDV0168,PC-2464,Logoff
logon,{B0X8-R4PB58NP-6668RYVA},08/10/2010 04:52:41,BDV0168,PC-2464,Logon
logon,{F1A3-X6PF23ZR-7126GVJX},08/10/2010 05:16:41,BDV0168,PC-2464,Logoff
logon,{K1B2-N6OZ19XO-7148MLSP},07/13/2010 20:15:23,BIH0745,PC-2661,Logon
logon,{I4V0-J7OH43HZ-7956NEXE},07/13/2010 21:20:44,BIH0745,PC-2661,Logoff
logon,{H5M9-E4GU47TS-2991DMNK},09/21/2010 01:16:22,BLS0678,PC-6031,Logon
logon,{M3M4-C8YB70JN-4776PTQV},09/21/2010 03:44:49,BLS0678,PC-6031,Logoff
logon,{Y3V9-J3OX51PK-1617PXNW},09/29/2010 17:36:12,BLS0678,PC-6031,Logon
logon,{A4M8-E2JY79ZI-1744AMBM},09/30/2010 04:48:19,BLS0678,PC-6031,Logoff
logon,{B3D5-C0JD16NA-6963WQHG},10/06/2010 22:25:52,BTL0226,PC-4534,Logon
logon,{Q0Q4-Y0HC07DO-5514PQDI},10/06/2010 23:29:40,BTL0226,PC-4534,Logoff
logon,{G5S6-I1KR94KM-3789VTLR},10/12/2010 02:06:22,BTL0226,PC-4534,Logon
logon,{O9B6-P4HG32NC-6629ADFD},10/12/2010 03:16:41,BTL0226,PC-4534,Logoff
